From 100000 events 
Particle 5122 decay report 
# of Particle 5122 : 4286
(22, 3124) : 1, fraction(0)
(211, 323, -433, -2212) : 1, fraction(0)
(-211, 321, 443, -2112) : 2, fraction(0)
(211, -411, 421, -3122) : 2, fraction(0)
(-211, -311, -421, 4122) : 1, fraction(0)
(211, 2112, -2224, 4122) : 1, fraction(0)
(211, -321, -411, 4122) : 2, fraction(0)
(-211, 323, 411, -4122) : 1, fraction(0)
(211, 2214, -2214, -4122) : 1, fraction(0)
(211, -321, -421, -3122) : 1, fraction(0)
(211, -413, 423, -3122) : 2, fraction(0)
(-211, -2114, 2114, 4122) : 2, fraction(0)
(-211, 3122, -3212, 4122) : 1, fraction(0)
(-211, 211, 211, -4122) : 46, fraction(1)
(211, -211, 211, -4122) : 23, fraction(0)
(-211, 223, 223, 4122) : 7, fraction(0)
(-211, -2112, 2224, -4122) : 1, fraction(0)
(-211, 311, -313, 4122) : 2, fraction(0)
(-211, -211, 213, 4122) : 11, fraction(0)
(211, -211, -211, 4122) : 40, fraction(0)
(-211, -2212, 2214, 4122) : 1, fraction(0)
(211, 421, -431, 2112) : 1, fraction(0)
(211, -321, 323, -4122) : 4, fraction(0)
(-211, -311, 311, 4122) : 5, fraction(0)
(211, -213, 421, 2112) : 1, fraction(0)
(-211, 311, 411, 3122) : 1, fraction(0)
(211, 223, 223, -4122) : 8, fraction(0)
(-211, 323, 411, -2212) : 1, fraction(0)
(-211, 413, -421, 3122) : 2, fraction(0)
(211, 213, -213, -4122) : 3, fraction(0)
(211, 3212, -3212, -4122) : 1, fraction(0)
(211, 223, -423, -2212) : 2, fraction(0)
(-211, -321, 323, 4122) : 3, fraction(0)
(-211, -213, 213, 4122) : 6, fraction(0)
(-211, 213, -213, 4122) : 4, fraction(0)
(-211, 211, 213, -4122) : 9, fraction(0)
(211, 221, -413, -2112) : 1, fraction(0)
(-211, 221, 411, 2112) : 1, fraction(0)
(211, 313, 423, -4122) : 2, fraction(0)
(211, -211, 213, -4122) : 3, fraction(0)
(211, -311, 313, -4122) : 1, fraction(0)
(-211, 221, 221, 4122) : 2, fraction(0)
(211, -411, 423, 3122) : 2, fraction(0)
(211, 2112, -2112, -4122) : 3, fraction(0)
(211, 311, 441, -2212) : 1, fraction(0)
(-211, 2212, -2224, 4224) : 1, fraction(0)
(-211, 311, 413, 3122) : 1, fraction(0)
(211, 311, 421, -4122) : 1, fraction(0)
(211, 211, -411, -2212) : 2, fraction(0)
(211, 311, -313, -4122) : 2, fraction(0)
(-211, -1114, 1114, 4122) : 1, fraction(0)
(-211, -321, 321, 4122) : 1, fraction(0)
(211, -413, 423, 3122) : 1, fraction(0)
(211, -3122, 3212, -4122) : 1, fraction(0)
(-211, 211, 421, 2112) : 1, fraction(0)
(211, 2212, -2214, -4122) : 2, fraction(0)
(-213, -2212, 2212, 4122) : 2, fraction(0)
(-213, -311, 313, 4122) : 2, fraction(0)
(-213, -321, 323, 4122) : 3, fraction(0)
(-213, -311, -421, 4122) : 1, fraction(0)
(213, 323, -431, -2212) : 1, fraction(0)
(213, 3212, -3212, -4122) : 1, fraction(0)
(213, -3212, 3212, -4122) : 1, fraction(0)
(-213, 223, 223, 4122) : 2, fraction(0)
(213, -213, 213, -4122) : 3, fraction(0)
(213, 321, -321, -2212) : 1, fraction(0)
(213, -311, 311, -4122) : 1, fraction(0)
(213, -323, -413, 2212) : 1, fraction(0)
(213, 311, -313, -4122) : 2, fraction(0)
(-213, 321, 441, -2112) : 1, fraction(0)
(213, 321, -321, -4122) : 1, fraction(0)
(213, 311, -311, -4122) : 4, fraction(0)
(213, 321, -323, -4122) : 1, fraction(0)
(-213, 223, 411, 2112) : 1, fraction(0)
(213, 323, -323, -4122) : 2, fraction(0)
(213, 2112, -2112, -4122) : 4, fraction(0)
(-213, 321, -323, 4122) : 1, fraction(0)
(213, 223, -421, -2212) : 1, fraction(0)
(213, 2212, -2212, -4122) : 1, fraction(0)
(-213, 223, 421, 2212) : 1, fraction(0)
(-213, -2112, 2112, 4122) : 2, fraction(0)
(213, 311, 423, -2212) : 2, fraction(0)
(213, 313, -313, -4122) : 1, fraction(0)
(-213, 213, -213, 4122) : 2, fraction(0)
(213, 3112, -3112, -4122) : 2, fraction(0)
(-213, 221, 223, 4122) : 4, fraction(0)
(213, 1114, -2212, 4122) : 1, fraction(0)
(-213, 223, 223, 2212) : 1, fraction(0)
(213, 221, -413, -2112) : 1, fraction(0)
(213, 223, -411, -2112) : 2, fraction(0)
(213, 311, -311, -2212) : 1, fraction(0)
(213, 2212, -2214, -4122) : 1, fraction(0)
(-213, -213, 411, 2212) : 1, fraction(0)
(-213, -321, 321, 4122) : 2, fraction(0)
(-213, -311, 311, 4122) : 1, fraction(0)
(-213, 311, -313, 4122) : 1, fraction(0)
(213, 313, 441, -2212) : 1, fraction(0)
(-213, 221, 221, 4122) : 1, fraction(0)
(213, 331, -421, -2212) : 1, fraction(0)
(-213, 221, 423, 2212) : 1, fraction(0)
(213, -321, 323, -4122) : 2, fraction(0)
(213, 423, -431, 2112) : 1, fraction(0)
(221, 3112, -3122, 4122) : 1, fraction(0)
(221, -313, 321, -4122) : 1, fraction(0)
(221, -421, 421, -3122) : 1, fraction(0)
(221, -311, -411, 4122) : 1, fraction(0)
(221, -3214, 3222, -4122) : 1, fraction(0)
(221, 411, -411, -3122) : 1, fraction(0)
(221, -311, 323, -4122) : 1, fraction(0)
(221, -3112, 3122, -4122) : 1, fraction(0)
(221, -311, 321, -4122) : 1, fraction(0)
(221, 2112, -2212, 4122) : 1, fraction(0)
(221, 313, -323, 4122) : 2, fraction(0)
(221, -411, 433, -2112) : 1, fraction(0)
(221, -323, 431, 2112) : 1, fraction(0)
(221, -423, 431, -2212) : 1, fraction(0)
(221, -2112, 2212, -4122) : 2, fraction(0)
(221, 421, -433, 2212) : 1, fraction(0)
(223, -311, 321, -4122) : 3, fraction(0)
(223, -3112, 3212, -4122) : 1, fraction(0)
(223, -311, 323, -4122) : 1, fraction(0)
(223, -313, 321, -4122) : 1, fraction(0)
(223, 313, -321, 4122) : 1, fraction(0)
(223, -2112, 2212, -4122) : 2, fraction(0)
(223, 311, -321, 4122) : 5, fraction(0)
(223, -313, 323, -4122) : 3, fraction(0)
(223, 321, 423, -4122) : 1, fraction(0)
(223, 2112, -2212, 4122) : 1, fraction(0)
(223, 2114, -2212, 4122) : 1, fraction(0)
(311, 411, -421, -2212) : 1, fraction(0)
(311, 411, -413, -2112) : 1, fraction(0)
(311, 333, 441, -2112) : 1, fraction(0)
(-311, -411, 423, 2212) : 2, fraction(0)
(-311, -413, 413, 2112) : 1, fraction(0)
(311, -411, 411, -2112) : 1, fraction(0)
(-311, 2212, -3122, -4122) : 1, fraction(0)
(311, 411, -411, -2112) : 2, fraction(0)
(-311, -411, 421, 2212) : 1, fraction(0)
(311, -411, 413, -2112) : 1, fraction(0)
(311, 421, -421, -2112) : 1, fraction(0)
(311, -323, 331, 4122) : 1, fraction(0)
(311, -413, 413, -2112) : 1, fraction(0)
(-311, -411, 431, -3122) : 1, fraction(0)
(-311, 421, -423, 2112) : 2, fraction(0)
(-311, -411, 413, 2112) : 3, fraction(0)
(-311, 411, -413, 2112) : 2, fraction(0)
(-311, 413, -413, 2112) : 1, fraction(0)
(-311, 421, -421, 2112) : 1, fraction(0)
(311, 411, -433, -3122) : 1, fraction(0)
(-311, -413, 431, -3122) : 1, fraction(0)
(313, 421, -421, -2112) : 1, fraction(0)
(313, -2212, 3122, 4122) : 1, fraction(0)
(-313, -421, 421, 2112) : 1, fraction(0)
(-313, 411, -411, 2112) : 1, fraction(0)
(-321, -411, 413, 2212) : 1, fraction(0)
(321, 333, 423, -2212) : 1, fraction(0)
(321, -423, 423, -2212) : 3, fraction(0)
(-321, -421, 423, 2212) : 1, fraction(0)
(-321, 321, -431, 4122) : 1, fraction(0)
(321, -413, 421, -2112) : 2, fraction(0)
(-321, -421, 431, -3122) : 1, fraction(0)
(321, -411, 413, -2212) : 2, fraction(0)
(-321, -423, 431, 3122) : 1, fraction(0)
(-321, 413, -421, 2112) : 1, fraction(0)
(-321, 421, -421, 2212) : 1, fraction(0)
(321, -413, 423, -2112) : 2, fraction(0)
(-321, 411, -423, 2112) : 1, fraction(0)
(321, -421, 423, -2212) : 1, fraction(0)
(-321, 321, 431, -4122) : 2, fraction(0)
(321, -411, 421, -2112) : 1, fraction(0)
(321, 423, -423, -2212) : 2, fraction(0)
(-321, 2114, -3214, 4122) : 1, fraction(0)
(-321, 321, 421, 2112) : 1, fraction(0)
(321, 421, -421, -2212) : 1, fraction(0)
(321, -3212, 3322, -4122) : 1, fraction(0)
(323, -421, 421, -2212) : 1, fraction(0)
(323, -2112, 3122, -4122) : 1, fraction(0)
(413, 1114, -2112, 2112) : 1, fraction(0)
(-423, -1114, 2112, -2212) : 1, fraction(0)
(-423, -1114, 2114, -2212) : 1, fraction(0)
(111, -211, 213, 213, -4122) : 3, fraction(0)
(111, 223, -313, 323, -4122) : 1, fraction(0)
(111, -213, 223, 413, 2112) : 1, fraction(0)
(111, 321, -1114, 3114, -4122) : 1, fraction(0)
(111, 111, 113, -211, 4122) : 6, fraction(0)
(111, -211, 211, 213, -2212) : 1, fraction(0)
(111, -211, 223, 423, 2212) : 1, fraction(0)
(111, 113, -311, 323, -4122) : 1, fraction(0)
(111, 213, 221, 221, -4122) : 2, fraction(0)
(111, 113, 113, 213, -4122) : 4, fraction(0)
(111, -211, 2112, -2112, 4122) : 1, fraction(0)
(111, -211, -311, 313, 4122) : 2, fraction(0)
(111, -211, -213, 213, 4122) : 1, fraction(0)
(111, 211, 223, 331, -4122) : 1, fraction(0)
(111, -211, 321, -323, 4122) : 1, fraction(0)
(111, 213, 2114, -2224, 4122) : 1, fraction(0)
(111, 113, 113, 423, 2112) : 1, fraction(0)
(111, 211, 221, 223, -4122) : 5, fraction(0)
(111, -211, 213, -213, 4122) : 5, fraction(0)
(111, -211, 211, 213, -4122) : 4, fraction(0)
(111, 211, 321, -321, -4122) : 1, fraction(0)
(111, -211, 211, -213, 4122) : 7, fraction(0)
(111, 223, 311, -323, 4122) : 1, fraction(0)
(111, 111, 211, 221, -4122) : 4, fraction(0)
(111, 111, 111, 211, -4122) : 1, fraction(0)
(111, 211, 311, -311, -4122) : 4, fraction(0)
(111, -213, 213, -213, 4122) : 2, fraction(0)
(111, 213, 221, 223, -4122) : 2, fraction(0)
(111, 111, -213, 411, 2112) : 1, fraction(0)
(111, 113, 113, -213, 4122) : 2, fraction(0)
(111, 111, 213, 223, -4122) : 3, fraction(0)
(111, 113, 211, 221, -4122) : 4, fraction(0)
(111, -211, 323, 413, -4122) : 1, fraction(0)
(111, 111, 213, -423, -2212) : 1, fraction(0)
(111, 113, 213, -413, -2112) : 1, fraction(0)
(111, -213, -311, 313, 4122) : 1, fraction(0)
(111, -321, -411, 411, 2212) : 1, fraction(0)
(111, -411, -2112, -2112, 2212) : 1, fraction(0)
(111, -211, -2212, 2212, 4122) : 1, fraction(0)
(111, 211, 223, -411, -2112) : 1, fraction(0)
(111, 221, 2112, -2212, 4122) : 1, fraction(0)
(111, 211, 223, -413, -2112) : 1, fraction(0)
(111, 113, -211, 423, 2212) : 1, fraction(0)
(111, 211, 2212, -2212, -4122) : 1, fraction(0)
(111, 111, 211, 223, -4122) : 7, fraction(0)
(111, 211, -213, 213, -4122) : 2, fraction(0)
(111, 111, 311, -321, 4122) : 1, fraction(0)
(111, 113, -211, 223, 4122) : 5, fraction(0)
(111, -211, 411, -421, -3122) : 1, fraction(0)
(111, 111, 311, -323, 4122) : 1, fraction(0)
(111, 113, -213, 221, 4122) : 2, fraction(0)
(111, -213, -311, 311, 4122) : 1, fraction(0)
(111, 211, 1114, -1114, -4122) : 1, fraction(0)
(111, -323, 333, -421, 2212) : 1, fraction(0)
(111, 211, -311, 313, -4122) : 1, fraction(0)
(111, 211, -211, -213, 4122) : 5, fraction(0)
(111, 111, -213, 221, 4122) : 2, fraction(0)
(111, -211, 223, 413, 2112) : 1, fraction(0)
(111, 111, 113, -213, 4122) : 7, fraction(0)
(111, 223, 2112, -2212, 4122) : 1, fraction(0)
(111, 111, -2214, 2224, -4122) : 1, fraction(0)
(111, -211, 221, 221, 4122) : 1, fraction(0)
(111, 113, 211, 331, -4122) : 1, fraction(0)
(111, 221, 323, 423, -2212) : 1, fraction(0)
(111, -211, -311, -421, 2212) : 1, fraction(0)
(111, 223, -2112, 2212, -4122) : 1, fraction(0)
(111, -213, -313, 313, 4122) : 2, fraction(0)
(111, -211, -3112, 3112, 4122) : 1, fraction(0)
(111, 221, 311, -321, 4122) : 2, fraction(0)
(111, 111, 111, -213, 4122) : 2, fraction(0)
(111, 213, 2112, -2112, -4122) : 1, fraction(0)
